n_shots,base_seed,sample_seed,pr_auc,roc_auc,bacc,dice_global,dice_pos_mean,miou,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,pix_specificity,pix_f1,pix_prec,pix_rec
50,44,0,0.5655634074357723,0.49604081632653063,0.47525510204081634,0.08187242918623636,0.03512468288600428,0.5195670715033106,0.5518590998043053,0.4738187319602001,0.5300751879699248,0.5755102040816327,"[75, 125, 104, 141]",0.9992925838639404,0.08187242882860546,0.18323738395310496,0.05271246120792473
100,44,0,0.5986767198389705,0.5232551020408163,0.5079591836734694,0.07561948865614539,0.039759719048909604,0.5179667818964526,0.5759368836291914,0.507289590639661,0.5572519083969466,0.5959183673469388,"[84, 116, 99, 146]",0.9995012868972228,0.07561948835660658,0.21662432966411116,0.04580448794461617
200,44,0,0.5757572000720649,0.5311938775510204,0.5062244897959183,0.1510031463331937,0.05717533486230033,0.5389720972800155,0.40932642487046633,0.478472736244757,0.5602836879432624,0.3224489795918367,"[138, 62, 166, 79]",0.9989453893430104,0.15100314589272595,0.23943890112737334,0.11027393172594727
400,44,0,0.5772805446328619,0.5060816326530612,0.4970918367346939,0.1315189774061409,0.052720709042350974,0.5337088253565466,0.5535353535353535,0.4970208413246388,0.548,0.5591836734693878,"[87, 113, 108, 137]",0.9998064353485978,0.13151897718023778,0.5381564844586776,0.07491346383384943
1777,44,0,0.8921236754349722,0.847734693877551,0.7591836734693878,0.630989593641129,0.34821767612379423,0.7296180907925676,0.7635574837310195,0.7547391148258827,0.8148148148148148,0.7183673469387755,"[160, 40, 69, 176]",0.9999023417145165,0.6309895931906043,0.9361864506281281,0.47585939365002866
10,44,1,0.5604653033332948,0.5007551020408163,0.5131632653061224,0.06450735567975638,0.028235939297994558,0.5149695970209076,0.48,0.5023655913978495,0.5666666666666667,0.4163265306122449,"[122, 78, 143, 102]",0.9994943241399782,0.06450735538412207,0.1881580845232808,0.03892635473860052
25,44,1,0.5717198184169828,0.5064591836734693,0.4966326530612245,0.007878591138607468,0.017873910556034166,0.47459611597502843,0.6382252559726962,0.4704284174600323,0.5483870967741935,0.763265306122449,"[46, 154, 58, 187]",0.9478771586344299,0.007878591034932124,0.004165894251168919,0.07242181904989149
50,44,1,0.5641317527632825,0.5062755102040816,0.4938775510204082,0.007881858113013201,0.01846872066356698,0.4740669507276776,0.6454849498327759,0.459728776286251,0.546742209631728,0.7877551020408163,"[40, 160, 52, 193]",0.9468101497774434,0.007881858011196155,0.004163074788166772,0.07385414179995115
100,44,1,0.5869348466847641,0.5094897959183673,0.5027040816326531,0.073085406815782,0.026549332626953574,0.517486804719112,0.5846153846153846,0.5004158004158005,0.5527272727272727,0.6204081632653061,"[77, 123, 93, 152]",0.9999302825855242,0.07308540669287113,0.6262942451238559,0.03880699450942888
200,44,1,0.587132764369259,0.49649999999999994,0.4816836734693878,0.1504615989083632,0.070237491082172,0.5387377793364156,0.525879917184265,0.48161317726535113,0.5336134453781513,0.5183673469387755,"[89, 111, 118, 127]",0.9987810233510215,0.15046159845010892,0.22014024600528165,0.1142874194318436
