trial_number,outer_fold,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
5,8,False,313.68161979998695,0.00035934714389160657,4.306940854463264e-05,0.33901517898432054,0.2,128,0.812136733723982,0.9148887371458896,0.6161986365634315,0.39312518825482345
6,8,False,418.5053469000268,0.000706621434353789,1.4559048111294816e-06,0.1884788636581085,0.2,256,0.9465480058991961,0.9261564467854108,0.609618278493553,0.39730436549035425
7,8,False,416.95082609995734,9.639625865479577e-05,9.54177866138754e-06,0.2437348735128859,0.2,256,1.8507405731760547,0.8056601790116146,0.6319916296046078,0.41617079030473764
8,8,False,308.8180933999829,0.0007972788625070406,5.641270623948382e-06,0.25799922732547254,0.2,96,2.91069029650434,0.8874078426800651,0.6488675871381426,0.36874241043328176
9,8,False,314.5491499999771,9.635377171901519e-05,1.4062145771005018e-05,0.3393280322475274,0.2,96,0.5871633219535175,0.8426945060808542,0.5642005311626674,0.46332083425640125
10,8,False,313.54622620000737,5.205051460117255e-05,5.844263535946988e-06,0.21489792888205417,0.2,128,2.6008604253649112,0.7813657189235543,0.48500231483265654,0.5594850887999934
11,8,False,313.44233700004406,0.00015958734438916355,1.7614081594869205e-05,0.2678888335628279,0.2,96,1.846360962087332,0.8446101279794899,0.5741041941492899,0.45335775031179987
12,8,False,419.42349860002287,0.00020414963671463987,3.1599114621708697e-06,0.37523784476650424,0.2,192,1.717608701669174,0.8484736549401577,0.6180693961647925,0.41089076333390684
13,8,False,409.0120802000165,6.130367668730945e-05,5.5760393960722145e-06,0.3961065395067327,0.2,192,1.9824205328904185,0.7835523756437482,0.5451027206879946,0.5037669191351589
14,8,False,420.6596778999665,0.00015032927377306256,8.245585307871814e-06,0.25072857073547444,0.2,192,2.761223643091025,0.8157020541733585,0.6435313273512957,0.401292471167662
15,8,False,397.8646685000276,0.0002738201686885882,1.1209942124046634e-07,0.2110066530342965,0.2,192,2.7092212415101296,0.8576185700124099,0.5994352694969128,0.4251171308337525
16,8,False,305.9901407000143,0.000685782977143366,5.083969491130448e-07,0.2221779773311105,0.2,128,1.6453577711515708,0.9209853324563303,0.6030891887354428,0.40469928315444986
17,8,False,415.33040939999046,0.0006788354603996218,6.092713746817775e-06,0.22378399999638,0.2,256,2.095417674058626,0.9190628868697803,0.6137531791877644,0.39463581042451434
18,8,False,386.5515341999708,0.0004980236461425078,1.2915173339565457e-07,0.3203623292578819,0.2,192,2.7319118403520024,0.8758686567241293,0.6516907169079873,0.3697674229452128
19,8,False,296.63565710000694,0.00010094153091638606,1.4291823095677985e-07,0.3129229190479206,0.2,96,2.8885132993449134,0.7950579673778723,0.5682327226506484,0.4779374629854425
20,8,False,414.60891740000807,0.00011011067446321302,3.249230615098754e-07,0.1967803053459082,0.2,256,0.8508089336570447,0.8539818167170642,0.6238923023898375,0.40345794086975967
21,8,False,385.38228149997303,0.00026019092667239094,3.981198205417586e-06,0.1700569107066255,0.2,192,2.2820414615509748,0.8687861712865976,0.6682830265465544,0.3567256919857947
22,8,False,304.87728289997904,0.00010328448083387098,9.584725591194513e-06,0.2909337875390932,0.2,128,2.3607998223040267,0.8052433550075981,0.607231901548509,0.4384027029226628
23,8,False,386.0127792999847,8.376298331954954e-05,5.650830878382572e-07,0.14016391115192822,0.2,192,0.9896625301635599,0.8236451835075795,0.5877041288639715,0.4484293775567028
24,8,False,304.43113030004315,6.683387630531302e-05,1.759695039855623e-07,0.33051270167234836,0.2,128,2.9708145019830923,0.7880022008331442,0.54191221858424,0.5047647792130544
25,8,False,296.93565410003066,0.0006746161723162565,3.9444441717700005e-05,0.2152790482913319,0.2,96,2.334224569758854,0.8843279454007931,0.6086238836497887,0.4081118580298495
26,8,False,304.48339399998076,0.00017672547094309,9.571040764677592e-07,0.3254504822814719,0.2,128,1.919147040338768,0.8298125872652754,0.6024601555013935,0.4324369126442789
27,8,False,386.1404464999796,0.0001386907254393986,1.3341352454044895e-06,0.209529118080673,0.2,192,2.9303884102815516,0.8118419863928852,0.6292338009273555,0.4157775997565899
28,8,False,296.4159776000306,0.00022833322342794894,5.192337882418383e-07,0.24554157173577432,0.2,96,0.6435739505566338,0.9284181538465159,0.5587304032315921,0.44703782583903834
